nta,weighted_mean
Allerton,0.006521156994081891
Alley Pond Park,0.0033065229696626983
Annadale-Huguenot-Prince's Bay-Woodrow,0.0033380593655141693
Arden Heights-Rossville,0.0022108704144101717
Astoria (Central),0.010241508782790152
Astoria (East)-Woodside (North),0.005479527292208551
Astoria (North)-Ditmars-Steinway,0.005615473651788958
Auburndale,0.003502354152929051
Baisley Park,0.00980236090807512
Barren Island-Floyd Bennett Field,0.0038381207438131478
Bath Beach,0.009409919947745407
Bay Ridge,0.005991451471761953
Bay Terrace-Clearview,0.0030305680118562855
Bayside,0.00762760578604805
Bedford Park,0.007188812934632454
Bedford-Stuyvesant (East),0.011623991742381032
Bedford-Stuyvesant (West),0.013264487104745674
Bellerose,0.003684894068023586
Belmont,0.010025805189535265
Bensonhurst,0.0049771998528891906
Borough Park,0.006990714380471486
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0.008626381190346151
Brighton Beach,0.0077627728923746
Bronx Park,0.005040681315898156
Brooklyn Heights,0.009550316212232476
Brownsville,0.010573922755529605
Bushwick (East),0.0061925749058326695
Bushwick (West),0.009395052400242078
Calvert Vaux Park,0.003649181076907681
Cambria Heights,0.003490651614134956
Canarsie,0.008292219861781233
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,0.012901438303797873
Castle Hill-Unionport,0.005798547740075703
Central Park,0.013973984080002813
Chelsea-Hudson Yards,0.020704272987521116
Chinatown-Two Bridges,0.014784830343723805
Claremont Village-Claremont (East),0.00796091268520484
Clinton Hill,0.017544159484949026
Co-op City,0.005840352508408491
College Point,0.0036986396128878287
Concourse-Concourse Village,0.01153194958323516
Coney Island-Sea Gate,0.019447999936215255
Corona,0.005196156970192317
Crotona Park East,0.008392325401377831
Crown Heights (North),0.011654724800510576
Crown Heights (South),0.01136240431341128
Cypress Hills,0.006676348573429667
Douglaston-Little Neck,0.0029313041610041102
Downtown Brooklyn-DUMBO-Boerum Hill,0.018282240720181545
Dyker Beach Park,0.004118376668876854
Dyker Heights,0.004147947134219621
