"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1500000US360050001000","Block Group 0, Census Tract 1, Bronx County, New York","-","-","**","**",
"1500000US360050001001","Block Group 1, Census Tract 1, Bronx County, New York","-","-","**","**",
"1500000US360050002000","Block Group 0, Census Tract 2, Bronx County, New York","-","-","**","**",
"1500000US360050002001","Block Group 1, Census Tract 2, Bronx County, New York","-","-","**","**",
"1500000US360050002002","Block Group 2, Census Tract 2, Bronx County, New York","74050","null","55140","null",
"1500000US360050002003","Block Group 3, Census Tract 2, Bronx County, New York","68333","null","16895","null",
"1500000US360050004000","Block Group 0, Census Tract 4, Bronx County, New York","-","-","**","**",
"1500000US360050004001","Block Group 1, Census Tract 4, Bronx County, New York","-","-","**","**",
"1500000US360050004002","Block Group 2, Census Tract 4, Bronx County, New York","61463","null","12428","null",
"1500000US360050004003","Block Group 3, Census Tract 4, Bronx County, New York","94913","null","30350","null",
"1500000US360050004004","Block Group 4, Census Tract 4, Bronx County, New York","107083","null","71806","null",
"1500000US360050016001","Block Group 1, Census Tract 16, Bronx County, New York","31449","null","6001","null",
"1500000US360050016002","Block Group 2, Census Tract 16, Bronx County, New York","45208","null","31677","null",
"1500000US360050016003","Block Group 3, Census Tract 16, Bronx County, New York","45580","null","10640","null",
"1500000US360050016004","Block Group 4, Census Tract 16, Bronx County, New York","46957","null","38615","null",
"1500000US360050019011","Block Group 1, Census Tract 19.01, Bronx County, New York","61711","null","15310","null",
"1500000US360050019021","Block Group 1, Census Tract 19.02, Bronx County, New York","53882","null","10884","null",
"1500000US360050019031","Block Group 1, Census Tract 19.03, Bronx County, New York","-","-","**","**",
"1500000US360050019032","Block Group 2, Census Tract 19.03, Bronx County, New York","-","-","**","**",
"1500000US360050019040","Block Group 0, Census Tract 19.04, Bronx County, New York","-","-","**","**",
"1500000US360050019041","Block Group 1, Census Tract 19.04, Bronx County, New York","-","-","**","**",
"1500000US360050019042","Block Group 2, Census Tract 19.04, Bronx County, New York","-","-","**","**",
"1500000US360050020011","Block Group 1, Census Tract 20.01, Bronx County, New York","-","-","**","**",
"1500000US360050020012","Block Group 2, Census Tract 20.01, Bronx County, New York","12269","null","7585","null",
"1500000US360050020013","Block Group 3, Census Tract 20.01, Bronx County, New York","50391","null","50348","null",
"1500000US360050020021","Block Group 1, Census Tract 20.02, Bronx County, New York","62370","null","47143","null",
"1500000US360050020022","Block Group 2, Census Tract 20.02, Bronx County, New York","87582","null","53508","null",
"1500000US360050020023","Block Group 3, Census Tract 20.02, Bronx County, New York","10403","null","9956","null",
"1500000US360050023001","Block Group 1, Census Tract 23, Bronx County, New York","26724","null","11050","null",
"1500000US360050023002","Block Group 2, Census Tract 23, Bronx County, New York","22105","null","13889","null",
"1500000US360050023003","Block Group 3, Census Tract 23, Bronx County, New York","-","-","**","**",
"1500000US360050024000","Block Group 0, Census Tract 24, Bronx County, New York","-","-","**","**",
"1500000US360050024001","Block Group 1, Census Tract 24, Bronx County, New York","-","-","**","**",
"1500000US360050025001","Block Group 1, Census Tract 25, Bronx County, New York","38325","null","17158","null",
"1500000US360050025002","Block Group 2, Census Tract 25, Bronx County, New York","17938","null","9704","null",
"1500000US360050025003","Block Group 3, Census Tract 25, Bronx County, New York","25075","null","5031","null",
"1500000US360050025004","Block Group 4, Census Tract 25, Bronx County, New York","51300","null","13134","null",
"1500000US360050025005","Block Group 5, Census Tract 25, Bronx County, New York","-","-","**","**",
"1500000US360050027011","Block Group 1, Census Tract 27.01, Bronx County, New York","16458","null","8956","null",
"1500000US360050027012","Block Group 2, Census Tract 27.01, Bronx County, New York","18171","null","2117","null",
"1500000US360050027021","Block Group 1, Census Tract 27.02, Bronx County, New York","20845","null","14386","null",
"1500000US360050027022","Block Group 2, Census Tract 27.02, Bronx County, New York","43785","null","19983","null",
"1500000US360050027023","Block Group 3, Census Tract 27.02, Bronx County, New York","-","-","**","**",
"1500000US360050027024","Block Group 4, Census Tract 27.02, Bronx County, New York","7181","null","6574","null",
"1500000US360050028001","Block Group 1, Census Tract 28, Bronx County, New York","54890","null","53923","null",
"1500000US360050028002","Block Group 2, Census Tract 28, Bronx County, New York","51288","null","6783","null",
"1500000US360050028003","Block Group 3, Census Tract 28, Bronx County, New York","51313","null","17850","null",
"1500000US360050028004","Block Group 4, Census Tract 28, Bronx County, New York","56364","null","21268","null",
"1500000US360050031001","Block Group 1, Census Tract 31, Bronx County, New York","42228","null","11185","null",
"1500000US360050033001","Block Group 1, Census Tract 33, Bronx County, New York","50465","null","34666","null",
"1500000US360050033002","Block Group 2, Census Tract 33, Bronx County, New York","-","-","**","**",
"1500000US360050033003","Block Group 3, Census Tract 33, Bronx County, New York","18295","null","8330","null",
"1500000US360050035001","Block Group 1, Census Tract 35, Bronx County, New York","27500","null","24359","null",
"1500000US360050035002","Block Group 2, Census Tract 35, Bronx County, New York","17639","null","11251","null",
"1500000US360050035003","Block Group 3, Census Tract 35, Bronx County, New York","30086","null","19424","null",
"1500000US360050037001","Block Group 1, Census Tract 37, Bronx County, New York","-","-","**","**",
"1500000US360050038001","Block Group 1, Census Tract 38, Bronx County, New York","51442","null","47829","null",
"1500000US360050039001","Block Group 1, Census Tract 39, Bronx County, New York","17583","null","12590","null",
"1500000US360050039002","Block Group 2, Census Tract 39, Bronx County, New York","-","-","**","**",
"1500000US360050039003","Block Group 3, Census Tract 39, Bronx County, New York","-","-","**","**",
"1500000US360050039004","Block Group 4, Census Tract 39, Bronx County, New York","85000","null","79178","null",
"1500000US360050039005","Block Group 5, Census Tract 39, Bronx County, New York","-","-","**","**",
"1500000US360050040011","Block Group 1, Census Tract 40.01, Bronx County, New York","61450","null","12954","null",
"1500000US360050041001","Block Group 1, Census Tract 41, Bronx County, New York","12281","null","3401","null",
"1500000US360050041002","Block Group 2, Census Tract 41, Bronx County, New York","28583","null","20789","null",
"1500000US360050041003","Block Group 3, Census Tract 41, Bronx County, New York","-","-","**","**",
"1500000US360050041004","Block Group 4, Census Tract 41, Bronx County, New York","35108","null","23839","null",
"1500000US360050042001","Block Group 1, Census Tract 42, Bronx County, New York","83704","null","27010","null",
"1500000US360050042002","Block Group 2, Census Tract 42, Bronx County, New York","10969","null","10000","null",
"1500000US360050042003","Block Group 3, Census Tract 42, Bronx County, New York","82100","null","17874","null",
"1500000US360050042004","Block Group 4, Census Tract 42, Bronx County, New York","107998","null","68419","null",
"1500000US360050042005","Block Group 5, Census Tract 42, Bronx County, New York","99432","null","35177","null",
"1500000US360050042006","Block Group 6, Census Tract 42, Bronx County, New York","-","-","**","**",
"1500000US360050042007","Block Group 7, Census Tract 42, Bronx County, New York","-","-","**","**",
