NTAName,NTA2020,BoroName,BoroCD,Pop_Total,Num_65+,Percent_65+,Percent_65+_Below_Poverty,Percent_Hispanic,Percent_white,Percent_Black,Percent_Asian,Percent_Other,
Claremont-Bathgate,BX01,Bronx,203,"35,560","2,692",7.6,42.1,60.6,1,37.3,0.1,1.0%,
Eastchester-Edenwald-Baychester,BX03,Bronx,212,"37,887","4,939",13,11.7,24.6,3.1,66,4.2,2.2%,
Bedford Park-Fordham North,BX05,Bronx,207,"57,685","4,993",8.7,30,75,4.2,15.6,3.8,1.5%,
Belmont,BX06,Bronx,206,"29,115","2,197",7.5,28.9,61,18.2,16.3,2.1,2.4%,
Bronxdale,BX07,Bronx,211,"39,423","4,780",12.1,23.2,54.9,13.9,26.1,2.9,2.2%,
West Farms-Bronx River,BX08,Bronx,209,"36,014","4,063",11.3,21.3,65.8,2.7,26.6,2.8,2.1%,
Soundview-Castle Hill-Clason Point-Harding Park,BX09,Bronx,209,"54,925","8,065",14.7,19.9,60.4,2.7,34.1,1.3,1.5%,
Pelham Bay-Country Club-City Island,BX10,Bronx,210,"26,877","5,375",20,12.2,41.4,49.4,4.3,3.7,1.1%,
Co-op City,BX13,Bronx,210,"47,400","11,354",24,15.2,28.3,6.6,59.2,2.3,3.6%,
East Concourse-Concourse Village,BX14,Bronx,204,"64,850","7,727",11.9,30.8,63.3,1.6,31.2,1.4,2.6%,
East Tremont,BX17,Bronx,206,"44,057","5,195",11.8,37,68.8,1.4,28.3,0.7,0.9%,
North Riverdale-Fieldston-Riverdale,BX22,Bronx,208,"27,551","7,066",25.6,9.8,21.6,61.8,8.9,5.1,2.6%,
Highbridge,BX26,Bronx,204,"39,140","3,309",8.5,40.6,64.3,2.5,32.1,0.5,0.7%,
Hunts Point,BX27,Bronx,202,"26,196","2,551",9.7,45.1,70.7,1.7,26.5,0.4,0.7%,
Van Cortlandt Village,BX28,Bronx,208,"50,935","6,333",12.4,23.6,69.7,8,16.1,3.7,2.6%,
Spuyten Duyvil-Kingsbridge,BX29,Bronx,208,"31,295","7,431",23.7,9,38.7,45.7,8.2,4.9,2.5%,
Kingsbridge Heights,BX30,Bronx,207,"32,163","3,888",12.1,34.9,75.7,3.5,15.6,2.3,2.9%,
Allerton-Pelham Gardens,BX31,Bronx,211,"31,993","6,274",19.6,11.7,36.3,21,31,9.8,1.8%,
Longwood,BX33,Bronx,202,"27,864","2,536",9.1,42.8,69.9,1.7,25.7,1.5,1.1%,
Melrose South-Mott Haven North,BX34,Bronx,201,"42,882","4,062",9.5,40.1,65.6,1.7,30.4,0.6,1.7%,
Morrisania-Melrose,BX35,Bronx,203,"40,925","3,621",8.8,31.8,58.3,1.2,38.2,1,1.4%,
University Heights-Morris Heights,BX36,Bronx,205,"56,293","4,749",8.4,45.3,68.9,1.1,27.8,1.5,0.6%,
Van Nest-Morris Park-Westchester Square,BX37,Bronx,211,"29,004","3,344",11.5,14.2,51.5,24.3,11.8,10,2.5%,
Mott Haven-Port Morris,BX39,Bronx,201,"54,163","4,708",8.7,46.6,68.8,1.9,28,0.4,0.9%,
