ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
218734404,10/05/2020,168,SODOMY 1,116,SEX CRIMES,PL 1305001,F,K,77,0,45-64,M,BLACK,1003606,185050,40.67458330800008,-73.93022154099998,POINT (-73.93022154099998 40.67458330800008)
218750287,10/05/2020,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,K,60,2,25-44,M,BLACK,989392,155078,40.59233618200005,-73.98148695899994,POINT (-73.98148695899994 40.59233618200005)
218750381,10/05/2020,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,PL 1402000,F,Q,109,0,25-44,M,WHITE HISPANIC,1032084,216954,40.762043893000055,-73.82732958099997,POINT (-73.82732958099997 40.762043893000055)
218768106,10/05/2020,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601001,M,Q,113,0,25-44,F,ASIAN / PACIFIC ISLANDER,1046367,186986,40.67970040800003,-73.77604736799998,POINT (-73.77604736799998 40.67970040800003)
218750389,10/05/2020,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601001,F,Q,113,0,<18,M,BLACK,1046405,187113,40.680048726000045,-73.77590919399995,POINT (-73.77590919399995 40.680048726000045)
218750363,10/05/2020,661,"LEWDNESS,PUBLIC",361,OFF. AGNST PUB ORD SENSBLTY &,PL 2450000,M,M,5,0,25-44,M,ASIAN / PACIFIC ISLANDER,984984,200116,40.71595711700007,-73.997353676,POINT (-73.997353676 40.71595711700007)
218729945,10/05/2020,568,"MARIJUANA, POSSESSION 1, 2 & 3",117,DANGEROUS DRUGS,PL 2212000,F,B,44,0,<18,M,WHITE HISPANIC,1005064,243644,40.83540554900002,-73.92478396599995,POINT (-73.92478396599995 40.83540554900002)
218765809,10/05/2020,117,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,PL 1202500,F,B,45,0,18-24,M,BLACK,1032047,242037,40.83088999300003,-73.82728461999993,POINT (-73.82728461999993 40.83088999300003)
218772195,10/05/2020,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,43,0,25-44,M,WHITE HISPANIC,1017606,241641,40.82986943100008,-73.87946977999997,POINT (-73.87946977999997 40.82986943100008)
218750296,10/05/2020,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,70,0,25-44,M,BLACK,999083,163265,40.61479691200003,-73.94657520399994,POINT (-73.94657520399994 40.61479691200003)
218763521,10/05/2020,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,67,0,25-44,M,BLACK,999316,176460,40.651013998000046,-73.94570651699998,POINT (-73.94570651699998 40.651013998000046)
218776883,10/05/2020,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",351,CRIMINAL MISCHIEF & RELATED OF,PL 1450001,M,B,44,0,25-44,M,BLACK,1006195,240321,40.82628213200008,-73.92070763799995,POINT (-73.92070763799997 40.82628213200008)
218768097,10/05/2020,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,M,14,0,25-44,M,BLACK,990454,213285,40.75210064200007,-73.97760951699998,POINT (-73.97760951699998 40.75210064200007)
218750380,10/05/2020,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,103,0,45-64,M,BLACK,1041879,197084,40.707447364000075,-73.79214176799998,POINT (-73.79214176799998 40.707447364000075)
218763523,10/05/2020,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,M,25,0,45-64,M,BLACK,1001575,232339,40.804384046000045,-73.93742166899995,POINT (-73.93742166899995 40.804384046000045)
218754466,10/05/2020,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,60,0,25-44,M,BLACK,990824,149705,40.57758741600002,-73.97633607099993,POINT (-73.97633607099993 40.57758741600002)
218750323,10/05/2020,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,K,84,0,45-64,M,BLACK,988897,192615,40.69536744700008,-73.98324342499996,POINT (-73.98324342499996 40.69536744700008)
218757638,10/05/2020,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 160102B,F,B,47,0,25-44,M,BLACK,1026486,262591,40.88733281800006,-73.84725001299995,POINT (-73.84725001299995 40.88733281800006)
218754461,10/05/2020,792,WEAPONS POSSESSION 1 & 2,118,DANGEROUS WEAPONS,PL 265031B,F,B,47,0,<18,M,BLACK,1024579,261426,40.884144183000046,-73.85415390399999,POINT (-73.85415390399999 40.884144183000046)
