GEO_ID,NAME,B19013_001E,B19013_001EA,B19013_001M,B19013_001MA
Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars),Annotation of Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars),Annotation of Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)
1400000US36005000100,"Census Tract 1, Bronx County, New York",-,-,**,**
1400000US36005000200,"Census Tract 2, Bronx County, New York",68000,null,21984,null
1400000US36005000400,"Census Tract 4, Bronx County, New York",93155,null,12263,null
1400000US36005001600,"Census Tract 16, Bronx County, New York",34766,null,6118,null
1400000US36005001901,"Census Tract 19.01, Bronx County, New York",61711,null,15310,null
1400000US36005001902,"Census Tract 19.02, Bronx County, New York",53882,null,10884,null
1400000US36005001903,"Census Tract 19.03, Bronx County, New York",-,-,**,**
1400000US36005001904,"Census Tract 19.04, Bronx County, New York",-,-,**,**
1400000US36005002001,"Census Tract 20.01, Bronx County, New York",16534,null,10848,null
1400000US36005002002,"Census Tract 20.02, Bronx County, New York",48711,null,37863,null
1400000US36005002300,"Census Tract 23, Bronx County, New York",24474,null,7684,null
1400000US36005002400,"Census Tract 24, Bronx County, New York",-,-,**,**
1400000US36005002500,"Census Tract 25, Bronx County, New York",27196,null,8483,null
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",17907,null,2742,null
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",14013,null,9432,null
1400000US36005002800,"Census Tract 28, Bronx County, New York",52068,null,6028,null
1400000US36005003100,"Census Tract 31, Bronx County, New York",42228,null,11185,null
1400000US36005003300,"Census Tract 33, Bronx County, New York",22159,null,7156,null
1400000US36005003500,"Census Tract 35, Bronx County, New York",29068,null,2672,null
1400000US36005003700,"Census Tract 37, Bronx County, New York",-,-,**,**
1400000US36005003800,"Census Tract 38, Bronx County, New York",51442,null,47829,null
1400000US36005003900,"Census Tract 39, Bronx County, New York",21642,null,13546,null
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",61450,null,12954,null
1400000US36005004100,"Census Tract 41, Bronx County, New York",22917,null,13034,null
1400000US36005004200,"Census Tract 42, Bronx County, New York",61587,null,31258,null
1400000US36005004300,"Census Tract 43, Bronx County, New York",26276,null,9977,null
1400000US36005004400,"Census Tract 44, Bronx County, New York",15580,null,2798,null
1400000US36005004600,"Census Tract 46, Bronx County, New York",22596,null,18472,null
1400000US36005004800,"Census Tract 48, Bronx County, New York",32217,null,9341,null
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",29806,null,6443,null
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",33071,null,8203,null
1400000US36005005100,"Census Tract 51, Bronx County, New York",20439,null,4236,null
1400000US36005005200,"Census Tract 52, Bronx County, New York",19245,null,4739,null
1400000US36005005300,"Census Tract 53, Bronx County, New York",18015,null,2231,null
1400000US36005005400,"Census Tract 54, Bronx County, New York",38005,null,8844,null
1400000US36005005600,"Census Tract 56, Bronx County, New York",33625,null,12528,null
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",31653,null,12593,null
1400000US36005006000,"Census Tract 60, Bronx County, New York",38871,null,5389,null
1400000US36005006100,"Census Tract 61, Bronx County, New York",51799,null,11039,null
1400000US36005006200,"Census Tract 62, Bronx County, New York",28614,null,6424,null
1400000US36005006301,"Census Tract 63.01, Bronx County, New York",48111,null,7163,null
1400000US36005006302,"Census Tract 63.02, Bronx County, New York",-,-,**,**
1400000US36005006400,"Census Tract 64, Bronx County, New York",33207,null,17763,null
1400000US36005006500,"Census Tract 65, Bronx County, New York",22409,null,7493,null
