GEOID20,NAME,Estimate_Total,MoE_Total,Estimate_Total_Not_Hispanic_or_Latino,MoE_Total_Not_Hispanic_or_Latino,Estimate_Total_Not_Hispanic_or_Latino_White_alone,MoE_Total_Not_Hispanic_or_Latino_White_alone,Estimate_Total_Not_Hispanic_or_Latino_Black_or_African_American_alone,MoE_Total_Not_Hispanic_or_Latino_Black_or_African_American_alone,Estimate_Total_Not_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,MoE_Total_Not_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,Estimate_Total_Not_Hispanic_or_Latino_Asian_alone,MoE_Total_Not_Hispanic_or_Latino_Asian_alone,Estimate_Total_Not_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,MoE_Total_Not_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,Estimate_Total_Not_Hispanic_or_Latino_Some_other_race_alone,MoE_Total_Not_Hispanic_or_Latino_Some_other_race_alone,Estimate_Total_Not_Hispanic_or_Latino_Two_or_more_races,MoE_Total_Not_Hispanic_or_Latino_Two_or_more_races,Estimate_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,MoE_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,"Estimate_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races","MoE_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races",Estimate_Total_Hispanic_or_Latino,MoE_Total_Hispanic_or_Latino,Estimate_Total_Hispanic_or_Latino_White_alone,MoE_Total_Hispanic_or_Latino_White_alone,Estimate_Total_Hispanic_or_Latino_Black_or_African_American_alone,MoE_Total_Hispanic_or_Latino_Black_or_African_American_alone,Estimate_Total_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,MoE_Total_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,Estimate_Total_Hispanic_or_Latino_Asian_alone,MoE_Total_Hispanic_or_Latino_Asian_alone,Estimate_Total_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,MoE_Total_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,Estimate_Total_Hispanic_or_Latino_Some_other_race_alone,MoE_Total_Hispanic_or_Latino_Some_other_race_alone,Estimate_Total_Hispanic_or_Latino_Two_or_more_races,MoE_Total_Hispanic_or_Latino_Two_or_more_races,Estimate_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,MoE_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,"Estimate_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races","MoE_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races"
1500000US360050001000,"Block Group 0, Census Tract 1, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050001001,"Block Group 1, Census Tract 1, Bronx County, New York",6600,684,4285,584,817,280,3234,437,27,27,171,69,0,17,0,17,36,25,0,17,36,25,2315,262,1743,232,207,71,0,17,0,17,0,17,252,177,113,67,44,41,69,52
1500000US360050002000,"Block Group 0, Census Tract 2, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050002001,"Block Group 1, Census Tract 2, Bronx County, New York",1385,365,540,296,12,16,490,291,0,12,38,59,0,12,0,12,0,12,0,12,0,12,845,315,547,289,71,68,0,12,0,12,0,12,203,132,24,36,0,12,24,36
1500000US360050002002,"Block Group 2, Census Tract 2, Bronx County, New York",1542,627,440,322,56,88,298,304,0,12,34,52,0,12,52,83,0,12,0,12,0,12,1102,453,168,168,258,257,0,12,0,12,0,12,450,317,226,243,203,241,23,25
1500000US360050002003,"Block Group 3, Census Tract 2, Bronx County, New York",1240,355,244,203,9,15,192,190,0,12,43,62,0,12,0,12,0,12,0,12,0,12,996,382,480,231,85,92,0,12,0,12,0,12,377,329,54,81,0,12,54,81
1500000US360050004000,"Block Group 0, Census Tract 4, Bronx County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360050004001,"Block Group 1, Census Tract 4, Bronx County, New York",491,314,154,222,129,212,0,12,0,12,25,37,0,12,0,12,0,12,0,12,0,12,337,193,236,176,18,29,0,12,0,12,0,12,83,138,0,12,0,12,0,12
1500000US360050004002,"Block Group 2, Census Tract 4, Bronx County, New York",728,409,136,121,44,65,38,51,0,12,0,12,0,12,0,12,54,66,0,12,54,66,592,387,329,251,50,79,0,12,0,12,0,12,213,280,0,12,0,12,0,12
1500000US360050004003,"Block Group 3, Census Tract 4, Bronx County, New York",3817,913,1057,279,143,95,836,299,0,12,62,83,0,12,2,22,14,24,0,12,14,24,2760,867,945,361,315,237,15,24,86,134,0,12,1272,877,127,113,47,55,80,87
1500000US360050004004,"Block Group 4, Census Tract 4, Bronx County, New York",648,281,189,151,55,51,91,92,0,12,0,12,0,12,0,12,43,66,0,12,43,66,459,297,304,240,0,12,0,12,0,12,0,12,155,163,0,12,0,12,0,12
1500000US360050016001,"Block Group 1, Census Tract 16, Bronx County, New York",3066,545,1638,538,33,41,1326,474,192,224,0,12,0,12,55,58,32,40,21,35,11,19,1428,302,618,219,264,142,0,12,13,20,0,12,356,202,177,131,138,123,39,45
